date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T12:04:41.830000+00:00,9896,14,5.876,1270,0.365
2025-10-05T12:04:42.419000+00:00,9896,87,6.441,1270,0.565
2025-10-05T12:04:42.565000+00:00,9896,1,1.411,1270,1.411
2025-10-05T12:04:42.870000+00:00,9896,27,6.914,1270,0.473
2025-10-05T12:04:43.200000+00:00,9896,4,2.024,1270,0.613
2025-10-05T12:04:43.270000+00:00,9896,30,7.325,1270,0.411
2025-10-05T12:04:43.730000+00:00,9896,43,7.775,1270,0.45
2025-10-05T12:04:43.870000+00:00,9896,81,2.683,1270,0.659
2025-10-05T12:04:44.620000+00:00,9896,16,3.466,1270,0.783
2025-10-05T12:04:44.699000+00:00,9896,18,8.737,1270,0.962
2025-10-05T12:04:45.052000+00:00,9896,5,9.082,1270,0.345
2025-10-05T12:04:45.336000+00:00,9896,12,4.077,1270,0.611
2025-10-05T12:04:45.481000+00:00,9896,22,9.523,1270,0.441
2025-10-05T12:04:45.897000+00:00,9896,31,9.959,1270,0.436
2025-10-05T12:04:46.014000+00:00,9896,44,4.857,1270,0.78
2025-10-05T12:04:46.395000+00:00,9896,55,10.38,1270,0.421
2025-10-05T12:04:46.726000+00:00,9896,10,10.748,1270,0.368
2025-10-05T12:04:47.002000+00:00,9896,6,5.82,1270,0.963
2025-10-05T12:04:47.082000+00:00,9896,23,11.115,1270,0.367
2025-10-05T12:04:47.423000+00:00,9896,14,6.232,1270,0.412
2025-10-05T12:04:47.938000+00:00,9896,87,6.79,1270,0.558
2025-10-05T12:04:48.360000+00:00,9896,1,1.431,1270,1.431
2025-10-05T12:04:48.423000+00:00,9896,27,7.284,1270,0.494
2025-10-05T12:04:48.969000+00:00,9896,4,2.061,1270,0.63
2025-10-05T12:04:49.016000+00:00,9896,30,7.879,1270,0.595
2025-10-05T12:04:49.516000+00:00,9896,43,8.318,1270,0.439
2025-10-05T12:04:49.626000+00:00,9896,81,2.727,1270,0.666
2025-10-05T12:04:50.407000+00:00,9896,16,3.518,1270,0.791
2025-10-05T12:04:50.876000+00:00,9896,18,9.629,1270,1.311
2025-10-05T12:04:51.032000+00:00,9896,12,4.121,1270,0.603
2025-10-05T12:04:51.298000+00:00,9896,5,10.031,1270,0.402
2025-10-05T12:04:51.583000+00:00,9896,22,10.338,1270,0.307
2025-10-05T12:04:51.792000+00:00,9896,44,4.897,1270,0.776
2025-10-05T12:04:52.032000+00:00,9896,31,10.875,1270,0.537
2025-10-05T12:04:52.534000+00:00,9896,55,11.379,1270,0.504
2025-10-05T12:04:52.758000+00:00,9896,6,5.855,1270,0.958
2025-10-05T12:04:52.870000+00:00,9896,10,11.721,1270,0.342
2025-10-05T12:04:53.198000+00:00,9896,14,6.282,1270,0.427
2025-10-05T12:04:53.358000+00:00,9896,23,12.201,1270,0.48
2025-10-05T12:04:53.753000+00:00,9896,87,6.844,1270,0.562
2025-10-05T12:04:54.197000+00:00,9896,27,,1270,0.44
2025-10-05T12:04:54.848000+00:00,9896,30,7.927,1270,0.643
2025-10-05T12:04:55.270000+00:00,9896,43,8.369,1270,0.442
2025-10-05T12:04:56.017000+00:00,9896,1,1.413,1270,1.413
2025-10-05T12:04:56.518000+00:00,9896,4,1.905,1270,0.492
2025-10-05T12:04:56.697000+00:00,9896,18,9.797,1270,1.428
2025-10-05T12:04:57.158000+00:00,9896,5,10.224,1270,0.427
2025-10-05T12:04:57.316000+00:00,9896,81,2.679,1270,0.774
2025-10-05T12:04:57.405000+00:00,9896,22,10.485,1270,0.261
2025-10-05T12:04:57.871000+00:00,9896,31,10.925,1270,0.44
2025-10-05T12:04:58.157000+00:00,9896,16,3.55,1270,0.871
2025-10-05T12:04:58.332000+00:00,9896,55,11.429,1270,
2025-10-05T12:04:58.630000+00:00,9896,10,11.728,1270,0.299
2025-10-05T12:04:58.771000+00:00,9896,12,4.155,1270,0.605
2025-10-05T12:04:59.098000+00:00,9896,23,12.181,1270,0.453
2025-10-05T12:04:59.473000+00:00,9896,44,4.856,1270,0.701
2025-10-05T12:04:59.473000+00:00,9896,1,1.402,1270,1.402
2025-10-05T12:04:59.957000+00:00,9896,4,1.875,1270,0.473
2025-10-05T12:05:00.457000+00:00,9896,6,5.838,1270,0.982
2025-10-05T12:05:00.723000+00:00,9896,81,2.667,1270,0.792
2025-10-05T12:05:00.879000+00:00,9896,14,6.281,1270,0.443
2025-10-05T12:05:01.551000+00:00,9896,87,6.934,1270,0.653
2025-10-05T12:05:01.598000+00:00,9896,16,3.525,1270,0.858
2025-10-05T12:05:02.207000+00:00,9896,12,4.136,1270,0.611
2025-10-05T12:05:02.223000+00:00,9896,27,7.613,1270,0.679
2025-10-05T12:05:02.767000+00:00,9896,30,8.16,1270,0.547
2025-10-05T12:05:02.899000+00:00,9896,44,4.798,1270,0.662
2025-10-05T12:05:03.251000+00:00,9896,43,8.624,1270,0.464
2025-10-05T12:05:03.900000+00:00,9896,6,5.816,1270,1.018
2025-10-05T12:05:03.952000+00:00,9896,1,1.35,1270,1.35
2025-10-05T12:05:04.312000+00:00,9896,14,6.235,1270,0.419
2025-10-05T12:05:04.483000+00:00,9896,4,1.835,1270,0.485
2025-10-05T12:05:04.551000+00:00,9896,18,9.948,1270,1.324
2025-10-05T12:05:04.954000+00:00,9896,87,6.891,1270,0.656
2025-10-05T12:05:05.057000+00:00,9896,5,10.454,1270,0.506
2025-10-05T12:05:05.190000+00:00,9896,81,2.582,1270,0.747
2025-10-05T12:05:05.552000+00:00,9896,22,10.939,1270,0.485
2025-10-05T12:05:05.688000+00:00,9896,27,7.609,1270,0.718
2025-10-05T12:05:06.032000+00:00,9896,31,11.424,1270,0.485
2025-10-05T12:05:06.097000+00:00,9896,16,3.48,1270,0.898
2025-10-05T12:05:06.199000+00:00,9896,30,8.141,1270,0.532
2025-10-05T12:05:06.588000+00:00,9896,55,11.943,1270,0.519
2025-10-05T12:05:06.610000+00:00,9896,12,4.012,1270,0.532
2025-10-05T12:05:06.670000+00:00,9896,43,8.605,1270,
2025-10-05T12:05:06.836000+00:00,9896,10,12.241,1270,0.298
2025-10-05T12:05:07.254000+00:00,9896,23,12.645,1270,0.404
2025-10-05T12:05:07.429000+00:00,9896,44,4.797,1270,0.785
2025-10-05T12:05:08.016000+00:00,9896,18,9.946,1270,1.341
2025-10-05T12:05:08.389000+00:00,9896,6,5.765,1270,0.968
2025-10-05T12:05:08.532000+00:00,9896,5,10.46,1270,0.514
2025-10-05T12:05:08.897000+00:00,9896,14,6.306,1270,0.541
2025-10-05T12:05:08.978000+00:00,9896,22,10.913,1270,0.453
2025-10-05T12:05:09.458000+00:00,9896,31,11.386,1270,0.473
2025-10-05T12:05:09.488000+00:00,9896,87,6.883,1270,0.577
2025-10-05T12:05:09.982000+00:00,9896,55,11.91,1270,0.524
2025-10-05T12:05:10.252000+00:00,9896,10,12.191,1270,0.281
